Manufacturer,Model,Adult_Occupant,Child_Occupant
Ford,Ford Fiesta + 2 Airbags,12.87 max. 16.00 ,37.80 max. 49.00 
Ford,Ford Focus Hatchback+ 2 Airbags,13.53 max. 16.00 ,33.68 max. 49.00 
Ford,Ford KA Fly Viral - NO Airbags,2.37 max. 16.00 ,30.52 max. 49.00 
Geely,Geely CK 1 1.3 - NO Airbags,1.06 max. 16.00 ,20.37 max. 49.00 
Honda,Honda Fit + 2 Airbags,16.26 max. 17.00 ,39.48 max. 49.00 
Honda,Honda City + 2 Airbags,16.07 max. 17.00 ,41.81 max. 49.00 
Honda,Honda HR-V + 2 Airbags,16.70 max. 17.00 ,43.30 max. 49.00 
Honda,Honda City + 2 Airbags,12.03 max. 16.00 ,37.99 max. 49.00 
Hyundai,Hyundai Creta + 2 Airbags,15.57 max. 17.00 ,29.87 max. 49.00 
Hyundai,Hyundai Grand i10 - NO Airbags,0.00 max. 17.00 ,20.81 max. 49.00 
Hyundai,Hyundai HB20 + 2 Airbags (from august 2013),13.80 max. 16.00 ,34.52 max. 49.00 
Hyundai,Hyundai HB20 + 2 Airbags,10.23 max. 16.00 ,4.77 max. 49.00 
JAC,Jac J3 + 2 Airbags,3.50 max. 16.00 ,13.03 max. 49.00 
Jeep,Jeep Renegade + 2 Airbags,16.12 max. 17.00 ,43.54 max. 49.00 
Lifan,Lifan 320 - NO Airbags,0.00 max. 17.00 ,4.72 max. 49.00 
Mitsubishi,Mitsubishi Montero Sport + 3 Airbags,16.70 max. 17.00 ,31.04 max. 49.00 
Nissan,Nissan Tiida Sedan + 2 Airbags,13.08 max. 17.00 ,18.67 max. 49.00 
Nissan,Nissan Tiida Sedan - NO Airbags,0.00 max. 17.00 ,16.41 max. 49.00 
Nissan,Nissan Tsuru / Sentra B13 - NO Airbags,1.00 max. 17.00 ,0.00 max. 49.00 
Nissan,Nissan March + 2 Airbags,7.62 max. 16.00 ,9.68 max. 49.00 
Nissan,Nissan Tiida Hatch + 2 Airbags,13.12 max. 16.00 ,9.29 max. 49.00 
Nissan,Nissan Tiida hatch + 1 Airbag,9.54 max. 16.00 ,8.00 max. 49.00 
Peugeot,Peugeot 208 + 2 Airbags,12.64 max. 17.00 ,28.13 max. 49.00 
Peugeot,Peugeot 207 Compact + 2 Airbags,7.13 max. 16.00 ,16.26 max. 49.00 
Peugeot,Peugeot 207 Compact 5p 1.4 - NO Airbags,6.32 max. 16.00 ,16.25 max. 49.00 
Renault,Renault Duster + 1 Airbag,11.00 max. 17.00 ,21.37 max. 49.00 
Renault,Renault Clio Mio - NO Airbags,0.00 max. 17.00 ,9.00 max. 49.00 
Renault,Renault Fluence + 2 Airbags,11.97 max. 16.00 ,20.92 max. 49.00 
Renault,Renault Sandero - NO Airbags,4.61 max. 16.00 ,18.78 max. 49.00 
Seat,Seat Leon ST + 6 Airbags,14.71 max. 17.00 ,43.39 max. 49.00 
Seat,Seat Leon + 6 Airbags,14.52 max. 17.00 ,38.55 max. 49.00 
Suzuki,Suzuki Swift - 2 Airbags,10.12 max. 16.00 ,3.41 max. 49.00 
Suzuki,Suzuki Alto K10 - NO Airbags,0.00 max. 17.00 ,25.00 max. 49.00 
Suzuki,Suzuki Celerio + 2 Airbags,12.99 max. 17.00 ,17.92 max. 49.00 
Toyota,Toyota RAV 4 + 3 Airbags,16.41 max. 17.00 ,36.57 max. 49.00 
Toyota,Toyota Hilux / SW4 / Fortuner + 3 Airbags,15.71 max. 17.00 ,44.25 max. 49.00 
